consultas quejas residente sexo ingresos horas
2014 2 si M 263.03 1287.25
3091 3 no H 334.94 1588
879 1 si H 206.42 705.25
1780 1 no H 226.32 1005.50
3646 11 no H 288.91 1667.25
2690 1 no H 275.94 1517.75
1864 2 si H 295.71 967
2782 6 no H 224.91 1609.25
3071 9 no M 249.32 1747.75
1502 3 si H 269 906.25
2438 2 no M 225.61 1787.75
2278 2 no H 212.43 1480.50
2458 5 no H 211.05 1733.50
2269 2 no M 213.23 1847.25
2431 7 no H 257.30 1433
3010 2 si H 326.49 1520
2234 5 si H 290.53 1404.75
2906 4 no H 268.73 1608.50
2043 2 si H 231.61 1220
3022 7 no H 241.04 1917.25
2123 5 no M 238.65 1506.25
1029 1 si M 287.73 589
3003 3 si M 280.52 1552.75
2178 2 no H 237.31 1518
2504 1 si M 218.70 1793.75
2211 1 no M 250.01 1548
2338 6 si H 251.54 1446
3060 2 si H 270.52 1858.25
2302 1 no H 247.31 1486.25
1486 1 si M 277.78 933.75
1863 1 si H 259.68 1168.25
1661 0 no H 260.92 877.25
2008 2 no H 240.22 1387.25
2138 2 no H 217.49 1312
2556 5 no H 250.31 1551.50
1451 3 si M 229.43 973.75
3328 3 si H 313.48 1638.25
2927 8 no H 293.47 1668.25
2701 8 no H 275.40 1652.75
2046 1 si H 289.56 1029.75
2548 2 si H 305.67 1127
2592 1 no H 252.35 1547.25
2741 1 si M 276.86 1499.25
3763 10 si H 308.84 1747.50
